species_code,ssid,raw_species,raw_common,aphiaID,TSN
22179,ak,Eumicrotremus derjugini,leatherfin lumpsucker,127215,167541
22180,ak,Eumicrotremus gyrinops,Alaskan lumpsucker,274492,167542
22182,ak,Eumicrotremus andriashevi,pimpled lumpsucker,254532,167538
22183,ak,Eumicrotremus,spiny lumpsuckers,126159,167537
22184,ak,Eumicrotremus barbatus,papillose lumpsucker,254534,167539
22190,ak,Eumicrotremus phrynoides,toad lumpsucker,254536,643980
22200,ak,Liparidae,snailfish,234519,NA
22201,ak,Liparis,,126160,167550
22202,ak,Liparis fucensis,slipskin snailfish,274515,167560
22203,ak,Liparis bristolensis,Bristol snailfish,254546,167585
22204,ak,Liparis dennyi,marbled snailfish,254550,167557
22205,ak,Liparis gibbus,variegated snailfish,159526,167561
22206,ak,Crystallichthys cyclospilus,blotched snailfish,280451,167529
22207,ak,Liparis megacephalus,bighead snailfish,274524,167568
22208,ak,Liparis pulchellus,showy snailfish,274533,167572
22209,ak,Liparis callyodon,spotted snailfish,274505,167553
22210,ak,Liparis ochotensis,Okhotsk snailfish,274529,167571
22211,ak,Liparis cyclopus,ribbon snailfish,274509,167556
22212,ak,Liparis fabricii,gelatinous seasnail,127218,550548
22213,ak,Liparis rutteri,ringtail snailfish,274538,167575
22214,ak,Elassodiscus,,269048,167617
22215,ak,Elassodiscus caudatus,humpback snailfish,280629,643967
22216,ak,Elassodiscus tremebundus,blacklip snailfish,280631,167618
22217,ak,Allocareproctus jordani,cherry snailfish,279555,643753
22218,ak,Allocareproctus tanix,peach snailfish,279557,NA
22219,ak,Careproctus,,126156,167488
22220,ak,Careproctus melanurus,blacktail snailfish,254549,167504
22221,ak,Careproctus curilanus,Kuril snailfish,274418,643832
22222,ak,Careproctus bowersianus,Bowers Bank snailfish,274414,167494
22223,ak,Careproctus simus,proboscis snailfish,274473,167518
22224,ak,Careproctus ectenes,shovelhead snailfish,274424,167499
22225,ak,Careproctus canus,gray snailfish,274416,643827
22226,ak,Careproctus phasma,monster snailfish,274460,167510
22227,ak,Careproctus nelsoni,saddleback snailfish,1493313,NA
22228,ak,Careproctus cypselurus,blackfin snailfish,274421,167498
22229,ak,Careproctus furcellus,emarginate snailfish,254548,167500
22230,ak,Careproctus abbreviatus,short snailfish,274402,167490
22231,ak,Paraliparis ulochir,broadfin snailfish,274612,167603
22232,ak,Careproctus scottae,peachskin snailfish,274470,167515
22233,ak,Careproctus gilberti,smalldisk snailfish,367288,167501
